"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"KOR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",1.724067239,""P"""
"KOR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",0.833347929,""P"""
"KOR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",0.213238983,""P"""
"KOR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.33777574,""P"""
"KOR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.633967885,""P"""
"KOR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.739266758,""P"""
"KOR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.322829368,""P"""
"AUS,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",2.056889654,"
"AUS,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",0.644644009,"
"AUS,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",-1.934133492,"
"AUS,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",3.819640031,"
"AUS,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.43774337,"
"AUS,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.873324734,"
"AUS,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.647000428,"
"ISL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-3.83936637,"
"ISL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",4.790280489,"
"ISL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",0.928051349,"
"ISL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",3.17478232,"
"ISL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-1.014782712,"
"ISL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",3.697631385,"
"ISL,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-0.505565112,"
"GBR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-1.169104099,"
"GBR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",6.541080048,"
"GBR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",1.765907329,"
"GBR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",1.621362281,"
"GBR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.691608792,"
"GBR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.23497788,"
"GBR,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-0.164616695,"
"EST,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",2.614488704,"
"EST,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",2.85217311,"
"EST,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",0.710336729,"
"EST,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",0.829825344,"
"EST,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",0.013246175,"
"EST,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",-1.343134517,"
"EST,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",-1.78276585,"
"DNK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",1.005006403,"
"DNK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q2"",1.924482261,"
"DNK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q3"",0.972452593,"
"DNK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q4"",2.49682863,"
"DNK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q1"",-0.485584733,"
"DNK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q2"",0.797199171,"
"DNK,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2022-Q3"",0.529824035,"
"ESP,""QGDP"",""TOT"",""PC_CHGPP"",""Q"",""2021-Q1"",-0.228663315,""P"""
